report_fy,document,page,subject,reason,evidence
2011,4117-fy-2011-annual-town-report.pdf,76,debt,"the page is a scanned image; there is no text layer to read, and the issue columns are too narrow for Vision","0 characters and 1 image(s) in the PDF; Vision reads 356 boxes, e.g. '$9,180'"
2011,4117-fy-2011-annual-town-report.pdf,77,debt,"the page is a scanned image; there is no text layer to read, and the issue columns are too narrow for Vision","0 characters and 1 image(s) in the PDF; Vision reads 134 boxes, e.g. '74'"
2012,4118-fy-2012-annual-town-report.pdf,76,debt,"the page is a scanned image; there is no text layer to read, and the issue columns are too narrow for Vision","0 characters and 1 image(s) in the PDF; Vision reads 318 boxes, e.g. '$9,450'"
2012,4118-fy-2012-annual-town-report.pdf,77,debt,"the page is a scanned image; there is no text layer to read, and the issue columns are too narrow for Vision","0 characters and 1 image(s) in the PDF; Vision reads 174 boxes, e.g. '74'"
2013,4119-fy-2013-annual-town-report.pdf,81,debt,"the page is a scanned image; there is no text layer to read, and the issue columns are too narrow for Vision","0 characters and 1 image(s) in the PDF; Vision reads 121 boxes, e.g. '$9,729'"
2013,4119-fy-2013-annual-town-report.pdf,82,debt,"the page is a scanned image; there is no text layer to read, and the issue columns are too narrow for Vision","0 characters and 1 image(s) in the PDF; Vision reads 88 boxes, e.g. '$44,995'"
2017,4124-fy-2017-annual-town-report.pdf,41,debt,"the page is a scanned image; there is no text layer to read, and the issue columns are too narrow for Vision","4 characters and 1 image(s) in the PDF; Vision reads 102 boxes, e.g. '$272'"
2017,4124-fy-2017-annual-town-report.pdf,42,debt,"the page is a scanned image; there is no text layer to read, and the issue columns are too narrow for Vision","4 characters and 1 image(s) in the PDF; Vision reads 255 boxes, e.g. '$20,051'"
2018,4125-fy-2018-annual-town-report.pdf,48,debt,"the page is a scanned image; there is no text layer to read, and the issue columns are too narrow for Vision","5 characters and 1 image(s) in the PDF; Vision reads 282 boxes, e.g. '$418,704'"
2018,4125-fy-2018-annual-town-report.pdf,51,debt,"the page is a scanned image; there is no text layer to read, and the issue columns are too narrow for Vision","5 characters and 1 image(s) in the PDF; Vision reads 86 boxes, e.g. '$40,000'"
2019,4126-fy-2019-annual-town-report.pdf,49,debt,"the page is a scanned image; there is no text layer to read, and the issue columns are too narrow for Vision","0 characters and 1 image(s) in the PDF; Vision reads 232 boxes, e.g. '$25,000'"
2019,4126-fy-2019-annual-town-report.pdf,50,debt,"the page is a scanned image; there is no text layer to read, and the issue columns are too narrow for Vision","0 characters and 1 image(s) in the PDF; Vision reads 90 boxes, e.g. '$30,000'"
2019,4126-fy-2019-annual-town-report.pdf,52,debt,"the page is a scanned image; there is no text layer to read, and the issue columns are too narrow for Vision","0 characters and 1 image(s) in the PDF; Vision reads 62 boxes, e.g. '$70,000'"
2020,4127-fy-2020-annual-town-report.pdf,43,debt,"the page is a scanned image; there is no text layer to read, and the issue columns are too narrow for Vision","4 characters and 1 image(s) in the PDF; Vision reads 415 boxes, e.g. '$0'"
2020,4127-fy-2020-annual-town-report.pdf,44,debt,"the page is a scanned image; there is no text layer to read, and the issue columns are too narrow for Vision","4 characters and 1 image(s) in the PDF; Vision reads 63 boxes, e.g. '$25,000'"
2020,4127-fy-2020-annual-town-report.pdf,45,debt,"the page is a scanned image; there is no text layer to read, and the issue columns are too narrow for Vision","4 characters and 1 image(s) in the PDF; Vision reads 185 boxes, e.g. '$365,000'"
2021,4128-fy-2021-annual-town-report.pdf,43,debt,"the page is a scanned image; there is no text layer to read, and the issue columns are too narrow for Vision","0 characters and 1 image(s) in the PDF; Vision reads 378 boxes, e.g. '$1,135,000'"
2021,4128-fy-2021-annual-town-report.pdf,44,debt,"the page is a scanned image; there is no text layer to read, and the issue columns are too narrow for Vision","0 characters and 1 image(s) in the PDF; Vision reads 81 boxes, e.g. 'S3,136,223'"
2021,4128-fy-2021-annual-town-report.pdf,45,debt,"the page is a scanned image; there is no text layer to read, and the issue columns are too narrow for Vision","0 characters and 1 image(s) in the PDF; Vision reads 173 boxes, e.g. '$365,000'"
2021,4128-fy-2021-annual-town-report.pdf,46,debt,"the page is a scanned image; there is no text layer to read, and the issue columns are too narrow for Vision","0 characters and 1 image(s) in the PDF; Vision reads 67 boxes, e.g. '$1,450,000'"
2022,4129-fy-2022-annual-town-report.pdf,45,debt,"the page is a scanned image; there is no text layer to read, and the issue columns are too narrow for Vision","4 characters and 1 image(s) in the PDF; Vision reads 146 boxes, e.g. '$0'"
2022,4129-fy-2022-annual-town-report.pdf,47,debt,"the page is a scanned image; there is no text layer to read, and the issue columns are too narrow for Vision","4 characters and 1 image(s) in the PDF; Vision reads 157 boxes, e.g. '$0'"
2023,4131-fy-2023-annual-town-report.pdf,53,debt,"the page is a scanned image; there is no text layer to read, and the issue columns are too narrow for Vision","5 characters and 1 image(s) in the PDF; Vision reads 169 boxes, e.g. '$418.704'"
2024,4132-fy-2024-annual-town-report.pdf,37,debt,"the page is a scanned image; there is no text layer to read, and the issue columns are too narrow for Vision","5 characters and 1 image(s) in the PDF; Vision reads 389 boxes, e.g. '37'"
