fy,school_year,level,item,amount,unit,unit_status,unit_basis,unit_quote,set_on,source,source_file,source_ref,verified
2024,2023-24,HS,full_pay,250.00,"per student, per season",structural,"The workbook nowhere writes the word season. Its own construction fixes it: the rate strip is row 3 of three worksheets named Fall, Winter, Spring, the same rates appear on more than one of them, and each is applied to that worksheet's own athlete counts.",,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",town-ledgers/account-details/athletics-by-sport-fy2024-fy2026.xlsx,Spring!E3,Spring!E3
2025,2024-25,HS,full_pay,250.00,"per student, per season",structural,"The workbook nowhere writes the word season. Its own construction fixes it: the rate strip is row 3 of three worksheets named Fall, Winter, Spring, the same rates appear on more than one of them, and each is applied to that worksheet's own athlete counts.",,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",town-ledgers/account-details/athletics-by-sport-fy2024-fy2026.xlsx,Spring!F3,Spring!F3
2024,2023-24,HS,second_child,140.00,"per student, per season",structural,"The workbook nowhere writes the word season. Its own construction fixes it: the rate strip is row 3 of three worksheets named Fall, Winter, Spring, the same rates appear on more than one of them, and each is applied to that worksheet's own athlete counts.",,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",town-ledgers/account-details/athletics-by-sport-fy2024-fy2026.xlsx,Spring!H3,Spring!H3
2025,2024-25,HS,second_child,140.00,"per student, per season",structural,"The workbook nowhere writes the word season. Its own construction fixes it: the rate strip is row 3 of three worksheets named Fall, Winter, Spring, the same rates appear on more than one of them, and each is applied to that worksheet's own athlete counts.",,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",town-ledgers/account-details/athletics-by-sport-fy2024-fy2026.xlsx,Spring!I3,Spring!I3
2024,2023-24,HS,third_child,85.00,"per student, per season",structural,"The workbook nowhere writes the word season. Its own construction fixes it: the rate strip is row 3 of three worksheets named Fall, Winter, Spring, the same rates appear on more than one of them, and each is applied to that worksheet's own athlete counts.",,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",town-ledgers/account-details/athletics-by-sport-fy2024-fy2026.xlsx,Spring!K3,Spring!K3
2025,2024-25,HS,third_child,85.00,"per student, per season",structural,"The workbook nowhere writes the word season. Its own construction fixes it: the rate strip is row 3 of three worksheets named Fall, Winter, Spring, the same rates appear on more than one of them, and each is applied to that worksheet's own athlete counts.",,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",town-ledgers/account-details/athletics-by-sport-fy2024-fy2026.xlsx,Spring!L3,Spring!L3
2024,2023-24,HS,reduced_fee,32.50,"per student, per season",structural,"The workbook nowhere writes the word season. Its own construction fixes it: the rate strip is row 3 of three worksheets named Fall, Winter, Spring, the same rates appear on more than one of them, and each is applied to that worksheet's own athlete counts.",,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",town-ledgers/account-details/athletics-by-sport-fy2024-fy2026.xlsx,Spring!Q3,Spring!Q3
2025,2024-25,HS,reduced_fee,32.50,"per student, per season",structural,"The workbook nowhere writes the word season. Its own construction fixes it: the rate strip is row 3 of three worksheets named Fall, Winter, Spring, the same rates appear on more than one of them, and each is applied to that worksheet's own athlete counts.",,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",town-ledgers/account-details/athletics-by-sport-fy2024-fy2026.xlsx,Spring!R3,Spring!R3
2024,2023-24,MS,reduced_fee,26.00,"per student, per season",structural,"The workbook nowhere writes the word season. Its own construction fixes it: the rate strip is row 3 of three worksheets named Fall, Winter, Spring, the same rates appear on more than one of them, and each is applied to that worksheet's own athlete counts.",,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",town-ledgers/account-details/athletics-by-sport-fy2024-fy2026.xlsx,Spring!T3,Spring!T3
2025,2024-25,MS,reduced_fee,26.00,"per student, per season",structural,"The workbook nowhere writes the word season. Its own construction fixes it: the rate strip is row 3 of three worksheets named Fall, Winter, Spring, the same rates appear on more than one of them, and each is applied to that worksheet's own athlete counts.",,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",town-ledgers/account-details/athletics-by-sport-fy2024-fy2026.xlsx,Spring!U3,Spring!U3
2024,2023-24,HS,family_cap,475.00,"per family, per season",stated,"The FAQ names the period inside the label itself: ""Total Cap per season"".",Total Cap per season,,LHS Athletics FAQ (rschoolteams.com),district-budget/text/lhs-athletics-faq.txt,Total Cap per season=$475.00,quoted in source
