id,order,label,question,kind,groups,match,qualify,exclude,tags,boards,registered_on,started,closes,status,resolved_on,closed_board,closed_date,closed_article,closed_match,resolved_by,caveat,note
stormwater-fee,10,The stormwater fee,"Will every property pay a new stormwater charge, how much, and billed how?",money;rule,what-i-pay,\bstormwater\b,,,,stormwater-task-force,2026-09-19,2026-01-13,a Town Meeting votes the stormwater article and the fee is set,open,,,,,,,"No fee has been set. What is on the record is a warrant article and how the charge would be billed — separately from the tax bill, with a quarterly coupon — not an amount any property owner will pay.","Billed separately from the tax bill, with a quarterly tear-off coupon (Stormwater Task Force, 31 Aug 2026). Five boards. NO #stormwater tag exists on any meeting -- tags cannot discover this one."
turkey-hill-rebuild,11,Turkey Hill: rebuild or renovate,"Does the town rebuild Turkey Hill, renovate it, or neither -- and with what MSBA help?",project,schools;buildings,turkey hill,msba|rebuild|renovat|statement of int|new build|building future|feasibilit|debt capacit|capital plan,,turkey-hill;msba,,2026-09-19,2025-10-15,"the MSBA statement of interest is submitted or dropped (window opens January, closes April 2027)",open,,,,,,,"Nothing has been decided between rebuilding and renovating. A statement of interest asks the state to consider the project; it is not a commitment to build, and it does not commit the town to borrow.","ENTITY vs MATTER: ""Turkey Hill"" alone collects 40 meetings of paraprofessionals, DIBELS scores, solar offsets and intercoms. The qualifier is what makes this a thread."
turkey-hill-ada,12,Turkey Hill: the ADA bathrooms,"Do the accessible bathrooms at Turkey Hill get funded, and from where?",project,schools;buildings,turkey hill,\bADA\b|accessib|bathroom,,turkey-hill,,2026-09-19,2025-12-03,the bathroom project is funded or abandoned,open,,,,,,,"A $195,000 transportation earmark was discussed as a possible source for the bathrooms. It has not been moved, and the project has not been funded.","A $195,000 transportation earmark was floated as the source (School Committee, 4 Feb 2026)."
brooks-house,13,Brooks House: what becomes of it,"Is Brooks House sold, leased, reused or demolished?",asset,buildings,brooks house,,,facilities,,2026-09-19,2026-07-14,"the Select Board adopts a disposition, or Town Meeting votes one",open,,,,,,,"The report Town Meeting asked for on selling or leasing the building was already overdue in July 2026, and no municipal use has been identified. Nothing here says what will happen to it.",The town-meeting-directed report on sale or long-term lease was already OVERDUE in July 2026.
tc-passios-site,14,TC Passios: the site's future,"What happens to the TC Passios site -- senior housing, a community centre, both, or demolition?",project;asset,buildings,"\bTC ?Pa[sc]{1,2}io\w*\b|\bTCP\b",feasibilit|senior housing|demolit|renovat|disposition|decommission|condition|reuse|tour|community center|cost estimate,,facilities,lunenburg-municipal-building-design-committee,2026-09-19,2026-02-03,the feasibility study returns and a board acts on it,open,,,,,,,"A feasibility study has been scoped, not commissioned. Three options were named — senior housing, housing plus a community centre, or both plus more — and none has been chosen.",The Building Design Committee asked the study to scope three options (31 Aug 2026).
925-mass-ave,15,925 Mass Ave: the RFP,What happens to the town land at 925 Massachusetts Avenue?,asset,buildings,925|mass\.? ave,\bRFP\b|proposal|working group|disposition|lease|sale|sell|925,,,,2026-09-19,2026-05-19,"a proposal is accepted, or the RFP lapses",open,,,,,,,An RFP was issued in May 2026 with responses due in July. Whether any proposal was accepted is not in the record we can read.,"RFP issued May 2026, responses due July."
monty-tech-assessment,16,The Monty Tech assessment,Why does Lunenburg's Monty Tech assessment rise faster than Monty Tech's own budget?,money,schools;what-i-pay,monty tech|montachusett,assessment|apportion|budget|chapter 70|foundation|tuition,,monty-tech,,2026-09-19,2025-09-30,NEVER -- the assessment is set again every year; a recurring thread,open,,,,,,,"Why Lunenburg’s assessment rises faster than Monty Tech’s own budget was asked by the Finance Committee and, in the record we hold, not answered.",ENTITY vs MATTER: Monty Tech is a district; the assessment is the matter.
extended-day-fee,17,The extended day programme fee,"Does the extended day programme fee go up, and by how much?",money,schools;what-i-pay,extended day,,,fees,,2026-09-19,2026-04-15,the School Committee votes the new fee,open,,,,,,,A fee increase was put on a future agenda because the programme was said to be running unsustainably. No amount has been set and no vote has been taken.,A direct cost to families.
dpw-union-contract,18,The DPW union contract,"What is in the DPW contract, and what were the discrepancies labour counsel was asked to resolve?",contract,how-the-town-runs,teamsters|DPW union|DPW contract,,,contracts-and-unions,,2026-09-19,2026-07-07,"the Select Board ratifies, or it returns to negotiation",open,,,,,,,"Ratification was held back until labour counsel resolved discrepancies. What those discrepancies are is not on the public record, and neither is what the contract contains.","CAN OF WORMS trigger, at n=1: ""Hold off ratifying ... until labor counsel resolves discrepancies."""
sap-rewrite,19,The Salary Administration Plan rewrite,"Which bylaw changes to the town's pay plan pass, and what does the comp study cost?",rule;money,how-the-town-runs,salary administration|\bSAP\b|classification study|salary grid|salary schedule,amend|bylaw|classification|consult|grid|longevity|rewrite|updat|study|review,,personnel,,2026-09-19,2026-08-31,November STM and the spring ATM vote the bylaw changes,open,,,,,,,A placeholder warrant article reserves room on the warrant for changes that have not been written yet. Nothing here says what the town’s pay plan will end up saying.,"Three deferrals across two meetings, accelerating. Touches every town employee."
