order,section,metric,value,what_it_is,kind,source,duplicate_of,keep,new_order,notes
1,1 The hole,Short next year,"$632,876",FY28 shortfall at level service,projection,model/cascade.py,,,,
2,1 The hole,Short over five years,"$2,848,272","FY28–FY32, after each year’s cuts stay cut",projection,model/cascade.py,,,,
3,1 The hole,Positions gone by FY32,22.2,"if closed by cutting, School Committee order",projection,model/cascade.py,,,,
4,1 The hole,"Short by, FY28","$632,876","2.9 positions cut; Student Device Refresh & Computer Leases, Remaining Athletics Program (all sports), High School Band & Chorus Program",projection,model/cascade.py,row 1,,,
5,1 The hole,"Short by, FY29","$556,851","1.0 positions cut; Building Maintenance Contracted Services, Instructional Technology Contracts (per school), Grounds Maintenance & Supplies",projection,model/cascade.py,,,,
6,1 The hole,"Short by, FY30","$560,986","10.8 positions cut; Advanced Placement & Upper-Level Electives, Library Staff & Materials — all four schools, Middle School Exploratory & Elective Block",projection,model/cascade.py,,,,
7,1 The hole,"Short by, FY31","$413,372","3.5 positions cut; Guidance Counselors (1.0 reduction), 1.0 Reading Specialist — Primary, Social Workers (1.0 reduction)",projection,model/cascade.py,,,,
8,1 The hole,"Short by, FY32","$684,187","4.0 positions cut; 52 Ignite Tutoring Seats — Primary, Classroom Instructional Materials & Workbooks, 1.0 Reading Specialist — Turkey Hill",projection,model/cascade.py,,,,
9,2 What an override buys,"$2,000,000 school override holds",3 years,"reopens FY2031; $416/yr on the average bill; general override $3,760,609 = $782/yr",projection,finance.project + rates.ts arithmetic,,,,
10,2 What an override buys,"$5,000,000 school override holds",7 years,"reopens FY2035; $1,039/yr on the average bill; general override $9,401,522 = $1,954/yr",projection,finance.project + rates.ts arithmetic,,,,
11,3 What drives it,Cost growth,5.18%,"blended, all lines",assumption,model/finance.py DEFAULT_ASSUMPTIONS,,,,
12,3 What drives it,Levy cap,2.5%,Proposition 2½,statute,,,,,
13,3 What drives it,Top-three share of the excess,92%,"health, sped in district, salaries",projection,,,,,
14,3 What drives it,Pull: Health insurance,0.97 pts,15% of spending × (9.0% − cap); set by the Town buys the insurance,assumption,model/finance.py,,,,
15,3 What drives it,"Pull: Special education, in district",0.81 pts,"20% of spending × (6.5% − cap); set by each child’s plan, and the law",assumption,model/finance.py,,,,
16,3 What drives it,Pull: Salaries,0.74 pts,50% of spending × (4.0% − cap); set by bargained with the unions,assumption,model/finance.py,,,,
17,3 What drives it,Pull: Transportation,0.14 pts,4% of spending × (6.0% − cap); set by contracted,assumption,model/finance.py,,,,
18,3 What drives it,Pull: Utilities,0.06 pts,2% of spending × (5.0% − cap); set by the market,assumption,model/finance.py,,,,
19,3 What drives it,Pull: Everything else,0.03 pts,7% of spending × (3.0% − cap); set by the School Committee,assumption,model/finance.py,,,,
20,3 What drives it,Pull: Out-of-district special education,-0.07 pts,3% of spending × (0.0% − cap); set by state rates and which children enrol,assumption,model/finance.py,,,,
21,4 Staff cuts alone,Cut once to hold 5 years,31.6 positions,"$2,812,904, 21% of salary line",projection,build_big_picture.stabilise,One big staffing cut card on /solutions,,,
22,4 Staff cuts alone,Cut every year to hold 5 years,6.8/yr,34.2 by FY32,projection,build_big_picture.stabilise,Cut staff every spring card on /solutions,,,
23,4 Staff cuts alone,Cut once to hold 10 years,67.4 positions,"$6,003,790, 45% of salary line",projection,build_big_picture.stabilise,One big staffing cut card on /solutions,,,
24,4 Staff cuts alone,Cut every year to hold 10 years,8.0/yr,79.9 by FY37,projection,build_big_picture.stabilise,Cut staff every spring card on /solutions,,,
25,4 Staff cuts alone,Cut 10% of staff once holds,2 years,"15 positions, $1,340,967; reopens FY2030",projection,build_big_picture.stabilise,,,,
26,4 Staff cuts alone,Cut 25% of staff once holds,5 years,"38 positions, $3,352,418; reopens FY2033",projection,build_big_picture.stabilise,overlaps the two rows above,,,
27,4 Staff cuts alone,Cut 50% of staff once holds,11 years,"76 positions, $6,704,837; reopens FY2039",projection,build_big_picture.stabilise,,,,
28,5 Building,New value for $1M/yr,$69.5M,"at $14.39/1,000; 2.8% of the town",arithmetic,model/taxbase.py,,,,
29,5 Building,"Typical developments, all at once",23.1,"each $3,005,000 paying $43,242/yr",arithmetic,model/taxbase.py MIX_VALUE (an archetype),row above — same number in buildings,,,
30,5 Building,Developments/yr to pay $1M by FY32,4.4,22.0 in all over 5 years,arithmetic,model/taxbase.py compound_new_growth,,,,
31,5 Building,Developments/yr to pay $1M by FY37,2.1,20.6 in all over 10 years,arithmetic,model/taxbase.py compound_new_growth,,,,
32,5 Building,"Current pace, in such developments",9.3,"the $400k/yr of new growth the town budgets, as archetype-equivalents",arithmetic,model/taxbase.py,,,,
33,6 Facts,Households with a child under 18,33%,"1477 of 4529, ±4.0 pts",recorded (survey),ACS B11005 2019–2023,,,,
34,6 Facts,Residents 65+,17%,"1979, ±2.6 pts",recorded (survey),ACS B01001 2019–2023,,,,
35,6 Facts,Residents under 18,23%,inside the 65+ card today,recorded (survey),ACS B01001,,,,
36,6 Facts,Students,1563,1557.0→1563.0 FY15→FY25 (+0%),recorded,DESE RADAR headcount,,,,
37,6 Facts,Low-income share of students,23%,0.12→0.233 FY15→FY25,recorded,DESE RADAR,,,,
38,6 Facts,Students with disabilities share,16%,0.182→0.158 FY15→FY25,recorded,DESE RADAR,,,,
39,6 Facts,State aid share of school budget,35%,"$9,349,335 of $26,572,288, FY26",recorded,model/taxbase.py CH70,,,,
40,6 Facts,Teacher FTE,103.4,104.7→103.4 FY16→FY26 (-1%),recorded,DESE teacher data (per assignment),,,,
41,6 Facts,Paraprofessional FTE,67.0,31.0→67.0 FY15→FY25 (+116%),recorded,DESE RADAR,,,,
42,6 Facts,Administration $ per pupil,$581,417.0→581.0 FY15→FY25 (+39%),recorded,"DESE RADAR — dollars, not people",,,,
43,6 Facts,Total spending per pupil change,+45%,12424.0→18027.0 FY15→FY25,recorded,DESE RADAR,inside the administration card today,,,
44,6 Facts,Athletes (season participations),649,675.0→649.0 FY24→FY26 — 3 years only,recorded,athletics payload,,,,
45,7 Findings a resident should have first (one per report),Lunenburg by the numbers — who lives here,"1,979 ± 309","1,979 ± 309 residents are 65 or over — 16.8% of the town, on a five-year sample.",measured,/lunenburg-by-the-numbers,,,,
46,7 Findings a resident should have first (one per report),How many Lunenburg children are on an IEP,258,"Lunenburg children with a special education plan, FY2026",measured,/how-many-students-are-on-an-iep,,,,
47,7 Findings a resident should have first (one per report),"What out-of-district special education costs, and what comes back",39.3%,Of what Lunenburg spent teaching children at other schools was paid from outside the budget,measured,/what-special-education-costs,,,,
48,7 Findings a resident should have first (one per report),Who ends up out of district,10,"Children whose special education plan placed them outside Lunenburg schools, FY2025",measured,/who-ends-up-out-of-district,,,,
49,7 Findings a resident should have first (one per report),How many students one special education group may have,8,A substantially separate group may not exceed 8 students to one certified special educator,measured,/special-education-class-size,,,,
50,7 Findings a resident should have first (one per report),The circuit breaker — what the state reimburses for the costliest placements,9,"29 children claimed in FY2013, 9 in FY2026; the cost per child went from $67,111 to $139,692.",measured,/circuit-breaker,,,,
51,7 Findings a resident should have first (one per report),"What other districts spend, for each pupil",43.3%,"More for each pupil at Monty Tech, a regional vocational school, than Lunenburg",measured,/what-other-districts-spend,,,,
52,7 Findings a resident should have first (one per report),What the state requires us to spend — and where that puts us,25.2%,"Rise in the state minimum since FY2018, against a rise in spending of half that",measured,/what-the-state-requires-us-to-spend,,,,
53,7 Findings a resident should have first (one per report),"Chapter 70 — the formula, and why it pays the floor","$240,450","Increase in state school aid for FY2026, all of it the Legislature’s flat minimum",measured,/why-we-only-get-minimum-aid,,,,
54,7 Findings a resident should have first (one per report),"How Chapter 70 actually works, in eight steps",$150.00,What one more or one fewer foundation pupil moves Lunenburg’s state aid by,measured,/how-chapter-70-works,,,,
55,7 Findings a resident should have first (one per report),"School staffing — did it go up, and over which years",95,Pairs of published years where the state counts fewer teachers at the end than the start,measured,/school-staffing,,,,
56,7 Findings a resident should have first (one per report),Who works in each school,123,"Teachers the state counted as people in FY2023, against 112.8 full-time equivalent posts",measured,/who-works-in-each-school,,,,
57,7 Findings a resident should have first (one per report),The paraprofessionals,352.7%,"Rise in paraprofessionals for each hundred pupils, the biggest change in staffing",measured,/the-paraprofessionals,,,,
58,7 Findings a resident should have first (one per report),"What courses actually ran, subject by subject",247,"Lunenburg High ran 247 sections in SY2025 against 225 in SY2017, on flat enrolment.",measured,/what-courses-actually-ran,,,,
59,7 Findings a resident should have first (one per report),"AP exams — who sits them, in what, and how they score",89,89 students sat at least one AP exam in SY2025 — about 39% of the 11th and 12th grades.,measured,/ap-exams,,,,
60,7 Findings a resident should have first (one per report),"The cut register — what was announced, and what shows",3,Positions on the FY2020 cut list that were gone from it four weeks later,measured,/cut-register,,,,
61,7 Findings a resident should have first (one per report),What stopped being funded,93,Things cut to zero in the school budget that were funded again later,measured,/what-stopped-being-funded,,,,
62,7 Findings a resident should have first (one per report),When a grant ends — who picks up the bill,42.2%,Of the grant money that ran out in FY2025 was replaced by the town’s own money,measured,/when-grants-end,,,,
63,7 Findings a resident should have first (one per report),"Who is in the schools — enrolment, FY1994 to today","1,568","1,568 children, 319 fewer than the FY2003 peak — and the fall stopped in FY2015.",measured,/who-is-in-the-schools,,,,
64,7 Findings a resident should have first (one per report),Which grades students leave in,20.5%,20.5% of each eighth grade does not come back to a Lunenburg school for grade 9.,measured,/which-grades-students-leave,,,,
65,7 Findings a resident should have first (one per report),"Who leaves Lunenburg schools, and where they go",-4.8%,"Change in children schooled outside Lunenburg, over 13 years",measured,/where-students-go-instead,,,,
66,7 Findings a resident should have first (one per report),"Monty Tech — the assessment, and what sets it","$14,605,342","The single amount the state requires Lunenburg to pay for schools, split between two districts",measured,/monty-tech,,,,
67,7 Findings a resident should have first (one per report),If students leave — what school choice would cost,"$401,700","Leaves the town in year one, if 78 high school students transferred out",hypothesis,/if-students-leave,,,,
68,7 Findings a resident should have first (one per report),What a family actually pays,"$1,110","A year for two high schoolers, one sport each, riding the bus and joining a club",measured,/what-families-pay,,,,
69,7 Findings a resident should have first (one per report),"What sports cost, and who pays","$602,285","Left the town’s accounts for athletics in FY2024, more than any document totals",measured,/what-sports-cost,,,,
70,7 Findings a resident should have first (one per report),Health insurance — the cost outside the school budget,"$1,521,536",Of the schools’ health insurance is not in the school budget at all,measured,/health-insurance,,,,
71,7 Findings a resident should have first (one per report),Budgets against what was later reported,198,Budget rows that landed within two per cent of their own plan,measured,/budget-vs-actual,,,,
72,8 Everything each report establishes (by topic) — Special education,How many Lunenburg children are on an IEP,258,"Lunenburg children with a special education plan, FY2026",measured,/how-many-students-are-on-an-iep,section 7 (the report’s lead),,,
73,8 Everything each report establishes (by topic) — Special education,How many Lunenburg children are on an IEP,63.3%,Fall in the paraprofessionals the state counts in special education,measured,/how-many-students-are-on-an-iep,,,,
74,8 Everything each report establishes (by topic) — Special education,"What out-of-district special education costs, and what comes back",39.3%,Of what Lunenburg spent teaching children at other schools was paid from outside the budget,measured,/what-special-education-costs,section 7 (the report’s lead),,,
