story_order,category,role,kind,ref,label,note
1,A. The hole,headline,bigpicture,hole.short_next,Short next year,
2,A. The hole,headline,bigpicture,hole.total,Short over five years,
3,A. The hole,headline,bigpicture,hole.cum_fte,Positions gone by FY32,
4,A. The hole,context,bigpicture,hole.year.2028,"Short by, FY28",
5,A. The hole,context,bigpicture,hole.year.2029,"Short by, FY29",
6,A. The hole,context,bigpicture,hole.year.2030,"Short by, FY30",
7,A. The hole,context,bigpicture,hole.year.2031,"Short by, FY31",
8,A. The hole,context,bigpicture,hole.year.2032,"Short by, FY32",
9,A. The hole,context,bigpicture,drivers.blended,Cost growth,
10,A. The hole,context,bigpicture,drivers.cap,Levy cap,
11,A. The hole,context,bigpicture,drivers.top3,Top-three share of the excess,
12,A. The hole,context,bigpicture,drivers.pull.health,Pull: Health insurance,
13,A. The hole,context,bigpicture,drivers.pull.sped,"Pull: Special education, in district",
14,A. The hole,context,bigpicture,drivers.pull.salaries,Pull: Salaries,
15,A. The hole,context,bigpicture,drivers.pull.transport,Pull: Transportation,
16,A. The hole,context,bigpicture,drivers.pull.utilities,Pull: Utilities,
17,A. The hole,context,bigpicture,drivers.pull.other,Pull: Everything else,
18,A. The hole,context,bigpicture,drivers.pull.sped_tuition,Pull: Out-of-district special education,
19,A. The hole,context,bigpicture,development.value,New value for $1M/yr,
20,B. Who lives here,headline,bigpicture,facts.households_with_child,Households with a child under 18,
21,B. Who lives here,headline,bigpicture,facts.seniors,Residents 65+,
22,B. Who lives here,headline,conclusion,bythenumbers/a-sixth-of-the-town-is-65-or-over,Lunenburg by the numbers — who lives here,
23,B. Who lives here,supporting,conclusion,bythenumbers/a-third-of-homes-have-a-child-under-18,Lunenburg by the numbers — who lives here,
24,B. Who lives here,supporting,conclusion,bythenumbers/a-senior-household-earns-about-half,Lunenburg by the numbers — who lives here,
25,B. Who lives here,supporting,conclusion,bythenumbers/four-in-five-homes-are-owner-occupied,Lunenburg by the numbers — who lives here,
