candidate,declined_on,declined_by,reason,revisit_if,note
#budget,2026-09-19,TJ+Claude,"a FACET, not a matter — in 87 of 108 recent meetings",never,"So are #personnel (86), #facilities (79), #staffing (73), #policy (67). Above the §2 ceiling."
Adult Activity Center,2026-09-19,TJ+Claude,"a VENUE, not a matter — fails the one-question test",a matter about the building itself arises,"9 mentions, 2 boards: a surplus electric range, a pavilion dedication, an IT capital request, two love seats, the parking. Seven unrelated questions sharing a location."
Green Communities,2026-09-19,TJ+Claude,routine appointments — the narrowed `office` kind excludes these,the Wallace Park lighting funding becomes its own matter,"4 mentions across 4 boards, almost all committee appointments."
the citizens petitioner (a person),2026-09-19,TJ+Claude,A PERSON IS NEVER A THREAD — rule 8,never,Surfaced at 5 mentions across 4 boards. The matter is the petition; see thread middle-school-sports.
the Pleasant Street no-trespass order,2026-09-19,TJ+Claude,"an INDIVIDUAL'S business — excluded by rule, not by threshold",never,Had a scheduled step and real consequence. A thread is a matter of general application.
the dangerous/nuisance dog complaint,2026-09-19,TJ+Claude,an INDIVIDUAL'S business — excluded by rule,never,A formal public hearing was scheduled. Still not a thread.
football helmets / fundraising policy review,2026-09-19,TJ+Claude,low reach on the §2 bar,ANY further mention — see note,"FLAGGED, NOT REJECTED. notes/process/PERSONAS.md records a booster president telling the School Committee ""we currently have more heads than we have helmets"" in the same year an athletics equipment line spent 44% of its budget. The score cannot see that history."
the Eagle Scout loafing shed,2026-09-19,TJ+Claude,died on reach,never,
the Town Hall / Ritter tour,2026-09-19,TJ+Claude,"scheduling, not a matter",never,"Cleared the non-decision trigger (""passed over""); died at Gate B."
49 excise tax abatements moved to the next agenda,2026-09-19,TJ+Claude,routine administration,never,
the rec department library-space MOU,2026-09-19,TJ+Claude,low reach; an internal booking arrangement,it becomes a paid or contested arrangement,
