dataset,path,rows,columns,grain,what_it_answers,caution,generator
archive-manifest.csv,sources/data/archive-manifest.csv,25164,key|bytes|sha256|etag_md5|upstream,one row per file under sources/,"THE INDEX INTO THE ARCHIVE'S BYTES. Every file under `sources/` -- 25,164 of them -- with its R2 object key, its size, its sha256, the etag MD5 the bucket returns, and the publisher URL it came from where one is recorded. This is what `sync_archive.py --pull` reads to fetch the documents a fresh clone does not have, and what `check_archive_storage.py` reconciles the bucket against. It is tracked in git deliberately: a clone held only in R2 would have to ask the network what exists before it could ask for any of it.","NOT A LIST OF DOCUMENTS. It is a list of FILES, and most of them are ours rather than the publishers' -- 24,033 of the 25,164 keys are under `meetings/`, which includes our extracted text, and `data/` and `analyses/` are things we wrote. Which keys are the publisher's own is not a column here: `archive_storage.frozen()` decides it from the extension and the folder, and only those are frozen in the bucket. `upstream` is empty on 12,565 rows -- an address nobody recorded, not a document with no source. `etag_md5` is the bucket's checksum for a single-part upload and is not a content hash for a multipart one; compare `sha256`.",scripts/sync_archive.py --manifest (via scripts/archive_storage.py)
archive-push-state.csv,sources/data/archive-push-state.csv,25145,key|bytes|sha256|verified_at,one row per object sync_archive.py --push has uploaded and read back,"What `--push` has already uploaded to the R2 bucket and verified, so a resumed run does not re-download 1.4 GB to rediscover it. Key, size, sha256, and the UTC timestamp at which the object was read back out of the bucket and matched.","A CACHE AND A CLAIM, NOT THE BUCKET. It records what a past run believed it did. `check_archive_storage.py` asks the bucket itself and never reads this file, and that is the check to trust. `verified_at` is when we read the object back, not when the town published anything. It has 19 fewer rows than the manifest; a key absent here is a key this cache has no record of, which is not the same as an object that is missing from the bucket.",scripts/sync_archive.py --push
copy-status.csv,sources/data/copy-status.csv,342,path|url|code|state|remote_sha256|local_sha256|checked,"one row per archived document with a publisher URL, per check","IS OUR COPY STILL THE PUBLISHER'S COPY? For each document, the publisher URL was re-fetched and the bytes hashed against ours. `state` says how they compare: `identical` (316), `repackaged` (a docx/xlsx re-zipped by Google, every member identical), `resaved` and `reflowed` (a PDF whose extracted text is the same but whose bytes are not), `differs` (content actually differs -- the one to look at, 1 today), `restricted` (the host answered 2xx with a sign-in page, so nothing could be compared, 3), `unreachable` (18). Checked 2026-09-05.","ONLY `differs` IS A FINDING. `repackaged`, `resaved` and `reflowed` are our instrument and the publisher's, not the town editing a document -- treating them as changes would report six false alarms. `restricted` means the request SUCCEEDED and what succeeded was a login wall; it is not evidence the document changed or did not. `checked` is a date, so every row is a claim about that day. Documents with no publisher URL are absent entirely, which is not a document that matches.",scripts/verify_source_copies.py
dataset-provenance.csv,sources/data/dataset-provenance.csv,225,dataset|edition|rows|pages|page_count|reconciled|partial|document|publisher_label|upstream|sha256|bytes,one row per dataset per report edition,"WHERE EVERY ANNUAL-REPORT FIGURE CAME FROM -- the join from a row in one of the eighteen annual-report datasets to the report it was read out of: how many rows and which pages, the document's filename, the publisher's own label, BOTH town URLs (DocumentCenter and ArchiveCenter, because links here have died 57 in a day), the sha256 and the byte count.","PROVENANCE IS NOT VERIFICATION. This says where a figure came from; it does not say the figure is right. `reconciled` and `partial` are the separate question and they are 0 on all 225 rows today -- none of these extracts is reconciled to a printed total. The generator FAILS rather than writing empty columns: this file once resolved 0 of 225 editions and exited 0, because it read one hardcoded folder the reports had moved out of, and every figure silently lost its address while the row count stayed the same. `pages` is truncated to the first 60 page numbers.",scripts/build_dataset_provenance.py
dese-source-registry.csv,sources/data/dese-source-registry.csv,29,name|source_kind|dataset_id|portal_page|api_endpoint|publisher|local|bytes|sha256|offers|refresh_note,one row per DESE source,"HOW TO FETCH EACH DESE SOURCE AGAIN NEXT YEAR. Three addresses per row and they are not interchangeable: `portal_page` is what a person opens, `api_endpoint` what a program fetches (Socrata only, blank where none exists), `publisher` the page DESE actually sends you to. Plus our local path, size and sha256, what the source `offers`, and a `refresh_note` saying what to do when the obvious route is a dead end.","SIX OF THE 29 ROWS ARE `source_kind = WANTED` -- a source we have identified and DO NOT HOLD. They carry no sha256 and no local file, and counting rows as documents overstates the archive by six. `archive-manifest.csv` records what we HOLD; this records how to get it again, and only one of those questions survives a year. The file format is part of the address: the Chapter 70 workbooks are VLOOKUP interfaces whose front sheet reads as empty, which is recorded per row.",scripts/build_dese_registry.py
document-basis.csv,sources/data/document-basis.csv,322,path|source_type|basis|ledger_at|ledger_why|ledger_evidence|actual_at|actual_why|actual_evidence|budget_at|budget_why|budget_evidence|hidden_columns,one row per document,"WHAT PRODUCED EACH DOCUMENT’S FIGURES -- rule 13a’s registry. Whether a figure came off the accounting system or was assembled by a person, plus, for every workbook, the columns the publisher HID.","This is the table that decides how much weight a figure carries, and it does not look at file extensions: a MUNIS .xlsx is a printout of the books and a hand-built .xlsx is an argument. `hidden_columns` exists because two copies of the same workbook hide different sets, so ""the workbook contains FY23 actuals"" and ""there is no FY23 column"" were both true at once.",scripts/classify_document_basis.py
link-status.csv,sources/data/link-status.csv,351,path|section|stars|url|code|public|checked,"one row per archived document link, per check","DOES THE PUBLISHER'S OWN LINK STILL OPEN? One HTTP request per document, no concurrency, a real user agent. `code` is the status returned and `public` is 1 where it opened without a sign-in wall. 330 of 351 opened on 2026-09-05; 18 returned code `000` (the request did not complete) and 3 returned 401. Nearly every historic failure has been a Google Drive or Docs link.","WHETHER A LINK OPENS IS NOT WHETHER IT HANDS BACK THE SAME DOCUMENT -- that is `copy-status.csv`, and a link can open and serve different bytes. A 200 can also BE the failure: a Google sign-in page answers 200, which is why `public` is recorded separately from `code`. `checked` is a date and this is run occasionally, never in the build, so every row is a claim about that day. `stars` and `section` come from the sources index and describe how the document is presented on the site, not its authority.",scripts/check_source_links.py
meeting-register.csv,sources/data/meeting-register.csv,7014,board|board_slug|date|agenda|minutes|searchable_docs|unsearchable_docs|video|video_ids|transcript|transcript_processed|evidence,one row per meeting occasion (board and date),"Every meeting occasion the town held, joining its agenda, its minutes, its video and its transcript -- so a question like ""was there a meeting with no minutes"" is answerable in one place.","An occasion with no minutes is not established to be a meeting that did not happen, nor one whose minutes are withheld: the town publishes on its own schedule and this is a snapshot. `evidence` says what the row rests on.",scripts/build_meeting_register.py
meeting-watch-events.csv,sources/data/meeting-watch-events.csv,6,first_seen|board|board_slug|meeting_date|kind|file_id|url|days_after_meeting_upper_bound,one row per newly observed agenda or minutes document,"WHAT HAS APPEARED on the town's AgendaCenter since the last crawl -- the announcement feed. Board, meeting date, whether it is an agenda or minutes, the town's own file id and URL, and `first_seen`, the day our crawler first saw it.","AN OBSERVATION LOG, NOT A MEASUREMENT. `first_seen` is the day WE SAW IT, never the day the town posted it -- the AgendaCenter publishes no posting timestamp. That is why the gap between the meeting date and `first_seen` is named `days_after_meeting_upper_bound`: it is an upper bound on how long minutes took to appear, and it is empty on rows carried in by `--seed`, because we genuinely do not know. Six rows today, all from the first live run on 2026-09-08; this file starts empty by design and is not a history of the archive.",scripts/watch_meetings.py
meeting-watch-runs.csv,sources/data/meeting-watch-runs.csv,2,ran|source|boards_listed|documents_listed|boards_unanswered|new_agendas|new_minutes,one row per watch run per day,"THE CRAWL LOG for `watch_meetings.py`: when it ran, whether it was a `live` crawl or the `seed`, how many boards and documents the town listed, how many boards did not answer, and how many new agendas and minutes it announced.","`boards_unanswered` IS THE DENOMINATOR THAT MATTERS -- a run that saw fewer boards found fewer new documents for a reason that has nothing to do with the town. A second run on the same day REWRITES that day's row rather than appending, so this is one row per day, not one per invocation, and the row count is not a count of runs. `documents_listed` is what the town's listing showed, not what we hold.",scripts/watch_meetings.py
