fy,doc_date,doc_title,stage,block,direction,conditional_on,printed,position,school,school_printed,fte,amount,consequence,page,doc_text,doc_pdf,sha256,basis
2020,2019-03-06,"FY20 Budget Update — Recommended Reductions as of March 6, 2019",reductions recommended,Recommended Reductions,reduction,,Level fund supply accounts,Level fund supply accounts,district,Districtwide,,,,4,district-budget/text/fy20-budget-update-recommended-reductions-as-of-march-6-2019.txt,district-budget/docs/fy20-budget-update-recommended-reductions-as-of-march-6-2019.pdf,6920363fc4c30a3bd058f748a4c681c5190ea652c7de979bfd41a0b2c1ebe29e,stated
2020,2019-03-06,"FY20 Budget Update — Recommended Reductions as of March 6, 2019",reductions recommended,Recommended Reductions,reduction,,Reduction of hours for paraprofessional positions,Reduction of hours for paraprofessional positions,district,Districtwide,,,,4,district-budget/text/fy20-budget-update-recommended-reductions-as-of-march-6-2019.txt,district-budget/docs/fy20-budget-update-recommended-reductions-as-of-march-6-2019.pdf,6920363fc4c30a3bd058f748a4c681c5190ea652c7de979bfd41a0b2c1ebe29e,stated
2020,2019-03-06,"FY20 Budget Update — Recommended Reductions as of March 6, 2019",reductions recommended,Recommended Reductions,reduction,,"Reduction of stipends- including department heads, building leadership team, and advisors","Reduction of stipends- including department heads, building leadership team, and advisors",district,Districtwide,,,,4,district-budget/text/fy20-budget-update-recommended-reductions-as-of-march-6-2019.txt,district-budget/docs/fy20-budget-update-recommended-reductions-as-of-march-6-2019.pdf,6920363fc4c30a3bd058f748a4c681c5190ea652c7de979bfd41a0b2c1ebe29e,stated
2020,2019-03-06,"FY20 Budget Update — Recommended Reductions as of March 6, 2019",reductions recommended,Recommended Reductions,reduction,,0.5 FTE Librarian,0.5 FTE Librarian,primary,Lunenburg Primary School,0.5,,There will be no Library Special at the Primary School. This will reduce prep periods for LPS teachers from 6 to 5 periods. Teachers will be asked to bring students to the library as part of their regular class. We will seek parent volunteers to help with library maintenance and support for classroom visits.,5,district-budget/text/fy20-budget-update-recommended-reductions-as-of-march-6-2019.txt,district-budget/docs/fy20-budget-update-recommended-reductions-as-of-march-6-2019.pdf,6920363fc4c30a3bd058f748a4c681c5190ea652c7de979bfd41a0b2c1ebe29e,stated
2020,2019-03-06,"FY20 Budget Update — Recommended Reductions as of March 6, 2019",reductions recommended,Recommended Reductions,reduction,,Part-Time Secretary,Part-Time Secretary,turkey-hill,Turkey Hill Elementary School,,,The secretary position is currently unfilled. A slight increase to the secretarial overtime account will assist with the school office duties.,5,district-budget/text/fy20-budget-update-recommended-reductions-as-of-march-6-2019.txt,district-budget/docs/fy20-budget-update-recommended-reductions-as-of-march-6-2019.pdf,6920363fc4c30a3bd058f748a4c681c5190ea652c7de979bfd41a0b2c1ebe29e,stated
2020,2019-03-06,"FY20 Budget Update — Recommended Reductions as of March 6, 2019",reductions recommended,Recommended Reductions,reduction,,"Teacher, THES Bubble to Middle School","Teacher, THES Bubble to Middle School",middle,Lunenburg Middle School,,,"A grade 7 teacher will be switched to grade 6 to accommodate the larger class size (138). This will make six grade 6 teachers. The past several years we have had 6- 10 new sixth graders register over the summer . Grade 7 will function with 5 full-time teachers. Student enrollment is currently 131, making class sizes approximately 26 per class (1 with 27).",6,district-budget/text/fy20-budget-update-recommended-reductions-as-of-march-6-2019.txt,district-budget/docs/fy20-budget-update-recommended-reductions-as-of-march-6-2019.pdf,6920363fc4c30a3bd058f748a4c681c5190ea652c7de979bfd41a0b2c1ebe29e,stated
2020,2019-03-06,"FY20 Budget Update — Recommended Reductions as of March 6, 2019",reductions recommended,Recommended Reductions,reduction,,"Teacher, Foreign Language Teacher","Teacher, Foreign Language Teacher",middle,Lunenburg Middle School,,,"This would be an elimination of a program we have developed over the past two years in which students are exposed to three languages and different cultures in order to make a more informed decision on which foreign language they want to take in grade 8. This cut comes at a true reduction of services for students. LMS will run 6th and 7th grade specials and enrichment with one less offering, making enrichment class sizes larger.",6,district-budget/text/fy20-budget-update-recommended-reductions-as-of-march-6-2019.txt,district-budget/docs/fy20-budget-update-recommended-reductions-as-of-march-6-2019.pdf,6920363fc4c30a3bd058f748a4c681c5190ea652c7de979bfd41a0b2c1ebe29e,stated
2020,2019-03-06,"FY20 Budget Update — Recommended Reductions as of March 6, 2019",reductions recommended,Recommended Reductions,reduction,,Proposed Athletic Trainer,Proposed Athletic Trainer,high,Lunenburg High School,,,The district will not have an athletic trainer on staff. The district will attempt to contract available athletic trainers in the local area at a per diem rate when possible. The department will continue to provide the safest environment within the means available to the student-athletes. The position is going to be a requirement by the state for all athletic departments at some point in the near future. This position is vital to help provide an even safer environment for the students who participate in athletics.,7,district-budget/text/fy20-budget-update-recommended-reductions-as-of-march-6-2019.txt,district-budget/docs/fy20-budget-update-recommended-reductions-as-of-march-6-2019.pdf,6920363fc4c30a3bd058f748a4c681c5190ea652c7de979bfd41a0b2c1ebe29e,stated
2020,2019-03-06,"FY20 Budget Update — Recommended Reductions as of March 6, 2019",reductions recommended,Recommended Reductions,reduction,,Foreign Language Teacher,Foreign Language Teacher,high,Lunenburg High School,,,"Based on an enrollment analysis, we will be phasing out French as a program offering at LHS. Students will have two, not three, options for language choices. AP foreign language courses would be available through Virtual High School. LHS has 25 VHS seats. Students taking AP foreign languages would be given priority for VHS seats. We will see a slight increase in class size in Spanish and Latin classes and in advisory classes due to the loss of one FTE.",7,district-budget/text/fy20-budget-update-recommended-reductions-as-of-march-6-2019.txt,district-budget/docs/fy20-budget-update-recommended-reductions-as-of-march-6-2019.pdf,6920363fc4c30a3bd058f748a4c681c5190ea652c7de979bfd41a0b2c1ebe29e,stated
2020,2019-03-06,"FY20 Budget Update — Recommended Reductions as of March 6, 2019",reductions recommended,Recommended Reductions,reduction,,"Paraprofessional, Study Hall","Paraprofessional, Study Hall",high,Lunenburg High School,,,This will impact the LHS Advisory program. We will not be able to mandate the Thursday 24-minute activity which is the heart of the advisory program. Staff will simply be supervising students in study halls. This impacts teacher planning and making connections with students.,7,district-budget/text/fy20-budget-update-recommended-reductions-as-of-march-6-2019.txt,district-budget/docs/fy20-budget-update-recommended-reductions-as-of-march-6-2019.pdf,6920363fc4c30a3bd058f748a4c681c5190ea652c7de979bfd41a0b2c1ebe29e,stated
2020,2019-03-06,"FY20 Budget Update — Recommended Reductions as of March 6, 2019",reductions recommended,Recommended Reductions,reduction,,Greenhouse Manager,Greenhouse Manager,high,Lunenburg High School,,,There would no longer be small group activities in the greenhouse. Other staff and students would assume the responsibility for watering the plants.,7,district-budget/text/fy20-budget-update-recommended-reductions-as-of-march-6-2019.txt,district-budget/docs/fy20-budget-update-recommended-reductions-as-of-march-6-2019.pdf,6920363fc4c30a3bd058f748a4c681c5190ea652c7de979bfd41a0b2c1ebe29e,stated
2020,2019-03-29,"Superintendent’s Budget Recommendations, March 29, 2019","reductions recommended, and two restored",The following cuts are recommended,reduction,,Reduce supply accounts,Reduce supply accounts,district,Districtwide,,,,1,district-budget/text/superintendent-s-budget-recommendations.txt,district-budget/docs/superintendent-s-budget-recommendations.docx,988163c21725b291fc5fe99fe459f03b11cf3a7a8cdf84d8736f8f7d7b2d9e68,stated
2020,2019-03-29,"Superintendent’s Budget Recommendations, March 29, 2019","reductions recommended, and two restored",The following cuts are recommended,reduction,,Reduction of hours for some paraprofessional positions,Reduction of hours for some paraprofessional positions,district,Districtwide,,,,1,district-budget/text/superintendent-s-budget-recommendations.txt,district-budget/docs/superintendent-s-budget-recommendations.docx,988163c21725b291fc5fe99fe459f03b11cf3a7a8cdf84d8736f8f7d7b2d9e68,stated
2020,2019-03-29,"Superintendent’s Budget Recommendations, March 29, 2019","reductions recommended, and two restored",The following cuts are recommended,reduction,,"Reduction of stipends- including department heads at LHS; building leadership teams at LMS, THES, Primary; and some reduction of club advisors","Reduction of stipends- including department heads at LHS; building leadership teams at LMS, THES, Primary; and some reduction of club advisors",district,Districtwide,,,,1,district-budget/text/superintendent-s-budget-recommendations.txt,district-budget/docs/superintendent-s-budget-recommendations.docx,988163c21725b291fc5fe99fe459f03b11cf3a7a8cdf84d8736f8f7d7b2d9e68,stated
2020,2019-03-29,"Superintendent’s Budget Recommendations, March 29, 2019","reductions recommended, and two restored",The following cuts are recommended,reduction,,Un-fund the proposed athletic trainer,Un-fund the proposed athletic trainer,high,LHS,,,,1,district-budget/text/superintendent-s-budget-recommendations.txt,district-budget/docs/superintendent-s-budget-recommendations.docx,988163c21725b291fc5fe99fe459f03b11cf3a7a8cdf84d8736f8f7d7b2d9e68,stated
2020,2019-03-29,"Superintendent’s Budget Recommendations, March 29, 2019","reductions recommended, and two restored",The following cuts are recommended,reduction,,One (1) paraprofessional,One (1) paraprofessional,high,LHS,,,,1,district-budget/text/superintendent-s-budget-recommendations.txt,district-budget/docs/superintendent-s-budget-recommendations.docx,988163c21725b291fc5fe99fe459f03b11cf3a7a8cdf84d8736f8f7d7b2d9e68,stated
2020,2019-03-29,"Superintendent’s Budget Recommendations, March 29, 2019","reductions recommended, and two restored",The following cuts are recommended,reduction,,Part-time greenhouse manager,Part-time greenhouse manager,high,LHS,,,,1,district-budget/text/superintendent-s-budget-recommendations.txt,district-budget/docs/superintendent-s-budget-recommendations.docx,988163c21725b291fc5fe99fe459f03b11cf3a7a8cdf84d8736f8f7d7b2d9e68,stated
2020,2019-03-29,"Superintendent’s Budget Recommendations, March 29, 2019","reductions recommended, and two restored",The following cuts are recommended,reduction,,One (1) teacher- foreign language (6th &amp; 7th grade),One (1) teacher- foreign language (6th &amp; 7th grade),middle,LMS,,,,1,district-budget/text/superintendent-s-budget-recommendations.txt,district-budget/docs/superintendent-s-budget-recommendations.docx,988163c21725b291fc5fe99fe459f03b11cf3a7a8cdf84d8736f8f7d7b2d9e68,stated
2020,2019-03-29,"Superintendent’s Budget Recommendations, March 29, 2019","reductions recommended, and two restored",The following cuts are recommended,reduction,,One (1) teacher- transferring with larger 5th grade class currently at THES,One (1) teacher- transferring with larger 5th grade class currently at THES,middle,LMS,,,,1,district-budget/text/superintendent-s-budget-recommendations.txt,district-budget/docs/superintendent-s-budget-recommendations.docx,988163c21725b291fc5fe99fe459f03b11cf3a7a8cdf84d8736f8f7d7b2d9e68,stated
2020,2019-03-29,"Superintendent’s Budget Recommendations, March 29, 2019","reductions recommended, and two restored",The following cuts are recommended,reduction,,Part-time secretary,Part-time secretary,turkey-hill,THES,,,,1,district-budget/text/superintendent-s-budget-recommendations.txt,district-budget/docs/superintendent-s-budget-recommendations.docx,988163c21725b291fc5fe99fe459f03b11cf3a7a8cdf84d8736f8f7d7b2d9e68,stated
2020,2019-03-29,"Superintendent’s Budget Recommendations, March 29, 2019","reductions recommended, and two restored",The following cuts are recommended,restoration,,one foreign language teacher position to LHS,one foreign language teacher position to LHS,high,LHS,,,This will allow us to continue to offer French grades 8-12 and support literacy Pre-K – 2.,1,district-budget/text/superintendent-s-budget-recommendations.txt,district-budget/docs/superintendent-s-budget-recommendations.docx,988163c21725b291fc5fe99fe459f03b11cf3a7a8cdf84d8736f8f7d7b2d9e68,stated
2020,2019-03-29,"Superintendent’s Budget Recommendations, March 29, 2019","reductions recommended, and two restored",The following cuts are recommended,restoration,,a 0.5 librarian position to the Primary School,a 0.5 librarian position to the Primary School,primary,Primary School,,,This will allow us to continue to offer French grades 8-12 and support literacy Pre-K – 2.,1,district-budget/text/superintendent-s-budget-recommendations.txt,district-budget/docs/superintendent-s-budget-recommendations.docx,988163c21725b291fc5fe99fe459f03b11cf3a7a8cdf84d8736f8f7d7b2d9e68,stated
2020,2019-04-03,"Superintendent’s Recommended FY20 Budget, budget hearing 3 April 2019",recommended budget as presented for adoption,Superintendent’s Recommended FY20 Budget (3.0%),reduction,,LMS FL Teacher (1.0 FTE),LMS FL Teacher (1.0 FTE),middle,lms,1,,,23,district-budget/text/superintendent-s-recommended-fy20-budget-presentation.txt,district-budget/docs/superintendent-s-recommended-fy20-budget-presentation.pdf,b9542c0f02c48dddda4b71e5856c421ec7c1ec2df6cc3b135e1c6d2663409098,stated
2020,2019-04-03,"Superintendent’s Recommended FY20 Budget, budget hearing 3 April 2019",recommended budget as presented for adoption,Superintendent’s Recommended FY20 Budget (3.0%),reduction,,LHS Paraprofessional (1.0 FTE),LHS Paraprofessional (1.0 FTE),high,lhs,1,,,23,district-budget/text/superintendent-s-recommended-fy20-budget-presentation.txt,district-budget/docs/superintendent-s-recommended-fy20-budget-presentation.pdf,b9542c0f02c48dddda4b71e5856c421ec7c1ec2df6cc3b135e1c6d2663409098,stated
2020,2019-04-03,"Superintendent’s Recommended FY20 Budget, budget hearing 3 April 2019",recommended budget as presented for adoption,Superintendent’s Recommended FY20 Budget (3.0%),reduction,,LMS Bubble Teacher (1.0 FTE),LMS Bubble Teacher (1.0 FTE),middle,lms,1,,,23,district-budget/text/superintendent-s-recommended-fy20-budget-presentation.txt,district-budget/docs/superintendent-s-recommended-fy20-budget-presentation.pdf,b9542c0f02c48dddda4b71e5856c421ec7c1ec2df6cc3b135e1c6d2663409098,stated
2020,2019-04-03,"Superintendent’s Recommended FY20 Budget, budget hearing 3 April 2019",recommended budget as presented for adoption,Superintendent’s Recommended FY20 Budget (3.0%),reduction,,LHS Part-time Greenhouse Manager,LHS Part-time Greenhouse Manager,high,lhs,,,,23,district-budget/text/superintendent-s-recommended-fy20-budget-presentation.txt,district-budget/docs/superintendent-s-recommended-fy20-budget-presentation.pdf,b9542c0f02c48dddda4b71e5856c421ec7c1ec2df6cc3b135e1c6d2663409098,stated
2020,2019-04-03,"Superintendent’s Recommended FY20 Budget, budget hearing 3 April 2019",recommended budget as presented for adoption,Superintendent’s Recommended FY20 Budget (3.0%),reduction,,THES Part-time Secretary,THES Part-time Secretary,turkey-hill,thes,,,,23,district-budget/text/superintendent-s-recommended-fy20-budget-presentation.txt,district-budget/docs/superintendent-s-recommended-fy20-budget-presentation.pdf,b9542c0f02c48dddda4b71e5856c421ec7c1ec2df6cc3b135e1c6d2663409098,stated
