route,title,kind,short_minutes,full_minutes,point_count,points,figures,point_1,point_2,point_3,point_4,point_5
/,The Lunenburg Budget Project — FY28 and beyond,page,,7.6,0,,,,,,,
/crisis,Budget Crisis,page,2.9,35.4,5,"Projections show a $930k deficit next year, and one in every year after it. | The budget in force already cut 9.2 FTE, and the projection reopens anyway. | Costs grow 5.18% a year and revenue 3.03%: a rate problem, not a bad year. | Salaries and health insurance are 64% of the budget — the only two lines that can change the direction, and neither is a School Committee vote. | About $795k a year of free cash could go to the schools, and it is one-time money.",$930k | 9.2 FTE | 5.18% | 64% | $795k,"Projections show a $930k deficit next year, and one in every year after it.","The budget in force already cut 9.2 FTE, and the projection reopens anyway.","Costs grow 5.18% a year and revenue 3.03%: a rate problem, not a bad year.","Salaries and health insurance are 64% of the budget — the only two lines that can change the direction, and neither is a School Committee vote.","About $795k a year of free cash could go to the schools, and it is one-time money."
/straight-answers,Straight answers,page,1.2,38.0,4,"$930k — The schools need $930,273 more next year than the town can give them. That is the whole problem, in one number. | 2.68% — The things schools buy get 5.18% more expensive each year. State law lets the town collect about 2.5% more each year. Nobody overspent — the two numbers are simply different. | $570k — That difference opens a brand new hole every year, of roughly $570,339 to $786,364, whether or not you closed the last one. | 1 yr — So no single cut fixes this. Every answer in the table below — sports, fees, administrators, pay, insurance — buys one year at most, and then the question comes back larger.",$930k | 2.68% | $570k | 1 yr,"$930k — The schools need $930,273 more next year than the town can give them. That is the whole problem, in one number.",2.68% — The things schools buy get 5.18% more expensive each year. State law lets the town collect about 2.5% more each year. Nobody overspent — the two numbers are simply different.,"$570k — That difference opens a brand new hole every year, of roughly $570,339 to $786,364, whether or not you closed the last one.","1 yr — So no single cut fixes this. Every answer in the table below — sports, fees, administrators, pay, insurance — buys one year at most, and then the question comes back larger.",
/bend-the-curve,Bend the curve,page,4.4,37.7,2,Next year the schools get $859k more. Here is who spends it. | Costs grow 5.18%. Revenue grows 3.23%.,,Next year the schools get $859k more. Here is who spends it.,Costs grow 5.18%. Revenue grows 3.23%.,,,
/what-solved-requires,What solved would require,page,3.8,38.3,1,There is no arrangement of the other five lines that reaches the bar while salaries go on rising 4%.,,There is no arrangement of the other five lines that reaches the bar while salaries go on rising 4%.,,,,
/override,Overrides,page,1.1,15.7,3,"A $1.25M school-only override funds 1 year, then the same gap is back | Five years of stability costs $3.40M — $707 a year on the average home, for ever | Written townwide, the question has to be $2.35M to do the work of $1.25M for the schools",,"A $1.25M school-only override funds 1 year, then the same gap is back","Five years of stability costs $3.40M — $707 a year on the average home, for ever","Written townwide, the question has to be $2.35M to do the work of $1.25M for the schools",,
/the-situation,The situation,page,2.6,47.0,3,"Cutting every extra still funded — $376,207 — covers 40% of next year’s gap, once. | ~90% — Contracts, insurance and law set about 90% of the budget; after the extras, only classroom positions are big enough to cut. | 2.25 pts — The published cost increase is 3.98%; the one that comes back every year is 6.23%.","$376,207 | ~90% | 2.25 pts","Cutting every extra still funded — $376,207 — covers 40% of next year’s gap, once.","~90% — Contracts, insurance and law set about 90% of the budget; after the extras, only classroom positions are big enough to cut.",2.25 pts — The published cost increase is 3.98%; the one that comes back every year is 6.23%.,,
/the-money,The money,reference,,16.6,0,,,,,,,
/athletics,"Athletics, both sides of the money",page,,8.2,0,,,,,,,
/budget-vs-actual,Budgets against what was later reported,page,4.3,24.6,3,"198 of 576 budget rows landed within two per cent of their own plan. | 7 of 98 school budget rows miss the same way every year, all by small amounts. | Out-of-district tuition landed 51.5% below plan in its worst measured year.",198 of 576 | 7 of 98 rows | 51.5%,198 of 576 budget rows landed within two per cent of their own plan.,"7 of 98 school budget rows miss the same way every year, all by small amounts.",Out-of-district tuition landed 51.5% below plan in its worst measured year.,,
/free-cash,Free cash — how much is actually spendable,page,2.0,27.7,5,"47% — Free cash is not money the town saved. It is mostly money the town budgeted and did not spend. | 45 of 45 — Local receipts have beaten the estimate every single year — and so have all 9 towns. | 2.49× — The record year was an event, not a stance. Underspending in 2025 was 2.49 times Lunenburg’s own recent average. | $361,912 — The state’s proof adds up exactly — to a figure that is not the one it certifies. | These agree with what this project has already published, and that is worth saying.","47% | 45 of 45 | 2.49× | $361,912",47% — Free cash is not money the town saved. It is mostly money the town budgeted and did not spend.,45 of 45 — Local receipts have beaten the estimate every single year — and so have all 9 towns.,"2.49× — The record year was an event, not a stance. Underspending in 2025 was 2.49 times Lunenburg’s own recent average.","$361,912 — The state’s proof adds up exactly — to a figure that is not the one it certifies.","These agree with what this project has already published, and that is worth saying."
/money-outside-the-budget,The money outside the budget,page,2.3,27.3,4,"The town’s funds outside the budget took in more than they spent in 12 of 13 years, and what they hold multiplied 3.6×. | 34% of what those funds hold is pandemic-era money, and this series ends before we can see whether it has gone. | Most of the money held outside the budget is not school money — a large part is water, sewer and trash. | FY23 was the first year since FY17 that the school funds spent more than they took in.",,"The town’s funds outside the budget took in more than they spent in 12 of 13 years, and what they hold multiplied 3.6×.","34% of what those funds hold is pandemic-era money, and this series ends before we can see whether it has gone.","Most of the money held outside the budget is not school money — a large part is water, sewer and trash.",FY23 was the first year since FY17 that the school funds spent more than they took in.,
/not-found,Not found — The Lunenburg Budget Project,page,,0.5,0,,,,,,,
/why-it-repeats,Why it repeats,page,,13.9,0,,,,,,,
/agents,"Every address on this site, as links",reference,,23.5,0,,,,,,,
/ask,For AI assistants,reference,,10.1,0,,,,,,,
/build-your-own-budget,Build your own budget,tool,,16.8,0,,,,,,,
/find-the-money,Find the money,tool,,11.9,0,,,,,,,
/go-deeper,Go deeper,reference,,8.4,0,,,,,,,
/priorities,Priorities,tool,,13.2,0,,,,,,,
/rate-register,"Rates, fees and contracts — the register",reference,,12.9,0,,,,,,,
/reports,Analysis: Town and Schools,reference,,19.9,0,,,,,,,
/sources,Sources,reference,,17.5,0,,,,,,,
/try-growth,Try growth,tool,,21.5,0,,,,,,,
