ref,group,report,fy,period,account_type,fund_scope,why_one_run,status,sent
1a.23,A,glytdbud — expenditures,FY2023,13,EXPENSE,"fund 0100, depts 300 and 301","no report you have sent covers more than one fiscal year or period, so I have assumed one run each",requested,
1a.24,A,glytdbud — expenditures,FY2024,13,EXPENSE,"fund 0100, depts 300 and 301","no report you have sent covers more than one fiscal year or period, so I have assumed one run each",requested,
1a.25,A,glytdbud — expenditures,FY2025,13,EXPENSE,"fund 0100, depts 300 and 301","no report you have sent covers more than one fiscal year or period, so I have assumed one run each",requested,
1a.26,A,glytdbud — expenditures,FY2026,13,EXPENSE,"fund 0100, depts 300 and 301","no report you have sent covers more than one fiscal year or period, so I have assumed one run each",requested,
1b.23,A,glytdbud — expenditures,FY2023,13,EXPENSE,the 61 school funds,"every report you have sent keeps the general fund separate from the special revenue funds, so I have assumed two runs — if they can be selected together, one; your FY26 sewer report covers funds 5000, 5100 and 6000 at account level in one document",requested,
1b.24,A,glytdbud — expenditures,FY2024,13,EXPENSE,the 61 school funds,"every report you have sent keeps the general fund separate from the special revenue funds, so I have assumed two runs — if they can be selected together, one; your FY26 sewer report covers funds 5000, 5100 and 6000 at account level in one document",requested,
1b.25,A,glytdbud — expenditures,FY2025,13,EXPENSE,the 61 school funds,"every report you have sent keeps the general fund separate from the special revenue funds, so I have assumed two runs — if they can be selected together, one; your FY26 sewer report covers funds 5000, 5100 and 6000 at account level in one document",requested,
1b.26,A,glytdbud — expenditures,FY2026,13,EXPENSE,the 61 school funds,"every report you have sent keeps the general fund separate from the special revenue funds, so I have assumed two runs — if they can be selected together, one; your FY26 sewer report covers funds 5000, 5100 and 6000 at account level in one document",requested,
2.23,A,Account Details,FY2023,full year,—,"fund 0100, depts 300 and 301, the 61 school funds, and the 10 revenue accounts",the June files were one account each; I do not know whether this can span accounts,requested,
2.24,A,Account Details,FY2024,full year,—,"fund 0100, depts 300 and 301, the 61 school funds, and the 10 revenue accounts",the June files were one account each; I do not know whether this can span accounts,requested (I hold the athletics fund for this year only),
2.25,A,Account Details,FY2025,full year,—,"fund 0100, depts 300 and 301, the 61 school funds, and the 10 revenue accounts",the June files were one account each; I do not know whether this can span accounts,requested (I hold the athletics fund for this year only),
2.26,A,Account Details,FY2026,full year,—,"fund 0100, depts 300 and 301, the 61 school funds, and the 10 revenue accounts",the June files were one account each; I do not know whether this can span accounts,requested (I hold the athletics fund for this year only),
3.23,A,Report on line-item transfers,FY2023,full year,—,"fund 0100, depts 300 and 301 and the 61 school funds",I do not know what this report is called,requested,
3.24,A,Report on line-item transfers,FY2024,full year,—,"fund 0100, depts 300 and 301 and the 61 school funds",I do not know what this report is called,requested,
3.25,A,Report on line-item transfers,FY2025,full year,—,"fund 0100, depts 300 and 301 and the 61 school funds",I do not know what this report is called,requested,
3.26,A,Report on line-item transfers,FY2026,full year,—,"fund 0100, depts 300 and 301 and the 61 school funds",I do not know what this report is called,requested,
4.23,B,glytdbud — revenue,FY2023,13,REVENUE,the 10 revenue accounts,"no report you have sent covers more than one fiscal year or period, so I have assumed one run each",requested,
4.24,B,glytdbud — revenue,FY2024,13,REVENUE,the 10 revenue accounts,"no report you have sent covers more than one fiscal year or period, so I have assumed one run each",requested,
4.25,B,glytdbud — revenue,FY2025,13,REVENUE,the 10 revenue accounts,"no report you have sent covers more than one fiscal year or period, so I have assumed one run each",requested,
4.26,B,glytdbud — revenue,FY2026,13,REVENUE,the 10 revenue accounts,"no report you have sent covers more than one fiscal year or period, so I have assumed one run each",already held — please do not re-run,
5.23,B,Purchase orders closed after year close,FY2023,full year,—,"fund 0100, depts 300 and 301 and the 61 school funds",I do not know whether this is a standard report,requested,
5.24,B,Purchase orders closed after year close,FY2024,full year,—,"fund 0100, depts 300 and 301 and the 61 school funds",I do not know whether this is a standard report,requested,
5.25,B,Purchase orders closed after year close,FY2025,full year,—,"fund 0100, depts 300 and 301 and the 61 school funds",I do not know whether this is a standard report,requested,
5.26,B,Purchase orders closed after year close,FY2026,full year,—,"fund 0100, depts 300 and 301 and the 61 school funds",I do not know whether this is a standard report,requested,
