story_order,category,role,kind,ref,label,note
1,"A. The hole, and what fixes it",headline,bigpicture,hole.short_next,Short next year,
2,"A. The hole, and what fixes it",headline,bigpicture,hole.total,Short over five years,
3,"A. The hole, and what fixes it",headline,bigpicture,hole.cum_fte,Positions gone by FY32,
4,"A. The hole, and what fixes it",headline,bigpicture,override.2000000,"$2,000,000 school override holds",
5,"A. The hole, and what fixes it",headline,bigpicture,override.5000000,"$5,000,000 school override holds",
6,"A. The hole, and what fixes it",context,bigpicture,hole.year.2028,"Short by, FY28",
7,"A. The hole, and what fixes it",context,bigpicture,hole.year.2029,"Short by, FY29",
8,"A. The hole, and what fixes it",context,bigpicture,hole.year.2030,"Short by, FY30",
9,"A. The hole, and what fixes it",context,bigpicture,hole.year.2031,"Short by, FY31",
10,"A. The hole, and what fixes it",context,bigpicture,hole.year.2032,"Short by, FY32",
11,"A. The hole, and what fixes it",context,bigpicture,drivers.blended,Cost growth,
12,"A. The hole, and what fixes it",context,bigpicture,drivers.cap,Levy cap,
13,"A. The hole, and what fixes it",context,bigpicture,drivers.top3,Top-three share of the excess,
14,"A. The hole, and what fixes it",context,bigpicture,drivers.pull.health,Pull: Health insurance,
15,"A. The hole, and what fixes it",context,bigpicture,drivers.pull.sped,"Pull: Special education, in district",
16,"A. The hole, and what fixes it",context,bigpicture,drivers.pull.salaries,Pull: Salaries,
17,"A. The hole, and what fixes it",context,bigpicture,drivers.pull.transport,Pull: Transportation,
18,"A. The hole, and what fixes it",context,bigpicture,drivers.pull.utilities,Pull: Utilities,
19,"A. The hole, and what fixes it",context,bigpicture,drivers.pull.other,Pull: Everything else,
20,"A. The hole, and what fixes it",context,bigpicture,drivers.pull.sped_tuition,Pull: Out-of-district special education,
21,"A. The hole, and what fixes it",context,bigpicture,development.value,New value for $1M/yr,
22,B. Who lives here,headline,bigpicture,facts.households_with_child,Households with a child under 18,
23,B. Who lives here,headline,bigpicture,facts.seniors,Residents 65+,
24,B. Who lives here,headline,conclusion,bythenumbers/a-sixth-of-the-town-is-65-or-over,Lunenburg by the numbers — who lives here,
25,B. Who lives here,supporting,conclusion,bythenumbers/a-third-of-homes-have-a-child-under-18,Lunenburg by the numbers — who lives here,
26,B. Who lives here,supporting,conclusion,bythenumbers/a-senior-household-earns-about-half,Lunenburg by the numbers — who lives here,
27,B. Who lives here,supporting,conclusion,bythenumbers/four-in-five-homes-are-owner-occupied,Lunenburg by the numbers — who lives here,
28,B. Who lives here,supporting,conclusion,bythenumbers/ordinary-on-income-near-the-bottom-on-spending,Lunenburg by the numbers — who lives here,
29,B. Who lives here,supporting,conclusion,bythenumbers/most-of-what-changed-is-inside-the-margin,Lunenburg by the numbers — who lives here,
30,B. Who lives here,context,bigpicture,facts.children,Residents under 18,
31,C. The students,headline,bigpicture,facts.students,Students,
32,C. The students,headline,bigpicture,facts.low_income,Low-income share of students,
33,C. The students,headline,conclusion,enrollment/the-fall-ended-a-decade-ago,"Who is in the schools — enrolment, FY1994 to today",
34,C. The students,headline,conclusion,attrition/one-grade-does-all-the-leaving,Which grades students leave in,
35,C. The students,headline,conclusion,leaving/what-the-scenario-costs-and-what-would-have-to-be-cut,If students leave — what school choice would cost,
36,C. The students,supporting,conclusion,enrollment/the-high-school-did-the-shrinking,"Who is in the schools — enrolment, FY1994 to today",
37,C. The students,supporting,conclusion,enrollment/as-many-children-with-disabilities-as-ever,"Who is in the schools — enrolment, FY1994 to today",
38,C. The students,supporting,conclusion,enrollment/english-learners-from-a-handful-to-seventy,"Who is in the schools — enrolment, FY1994 to today",
39,C. The students,supporting,conclusion,enrollment/low-income-share-doubled-across-a-definition-change,"Who is in the schools — enrolment, FY1994 to today",
40,C. The students,supporting,conclusion,enrollment/lunenburg-shrank-less-than-most-of-its-neighbours,"Who is in the schools — enrolment, FY1994 to today",
41,C. The students,supporting,conclusion,attrition/a-high-year-not-a-new-level,Which grades students leave in,
42,C. The students,supporting,conclusion,attrition/the-leaving-is-nine-times-the-fall,Which grades students leave in,
43,C. The students,supporting,conclusion,attrition/the-gap-is-at-one-step-not-everywhere,Which grades students leave in,
44,C. The students,supporting,conclusion,attrition/nothing-published-says-where-they-went,Which grades students leave in,
45,C. The students,supporting,conclusion,leaving/chapter-70-moves-a-fraction-of-the-foundation-rate,If students leave — what school choice would cost,
46,C. The students,supporting,conclusion,leaving/this-is-a-flow-that-already-runs,If students leave — what school choice would cost,
47,C. The students,supporting,conclusion,leaving/the-net-is-flat-and-the-arriving-half-is-not,If students leave — what school choice would cost,
48,C. The students,context,bigpicture,facts.disabilities,Students with disabilities share,
49,D. Special education,headline,conclusion,spedcount/the-share-rose-partly-because-enrollment-fell,How many Lunenburg children are on an IEP,
50,D. Special education,headline,conclusion,spedroute/the-placement-count-fell-and-came-partly-back,Who ends up out of district,
51,D. Special education,headline,conclusion,circuitbreaker/fewer-children-each-far-more-expensive,The circuit breaker — what the state reimburses for the costliest placements,
52,D. Special education,supporting,conclusion,circuitbreaker/the-state-pays-what-it-appropriated,The circuit breaker — what the state reimburses for the costliest placements,
53,D. Special education,supporting,conclusion,circuitbreaker/the-threshold-is-a-deduction-not-a-rate,The circuit breaker — what the state reimburses for the costliest placements,
54,D. Special education,supporting,conclusion,circuitbreaker/transport-joined-the-reimbursement,The circuit breaker — what the state reimburses for the costliest placements,
55,D. Special education,supporting,conclusion,circuitbreaker/lunenburgs-placements-cost-more-per-child-than-most-neighbours,The circuit breaker — what the state reimburses for the costliest placements,
56,D. Special education,supporting,conclusion,spedroute/where-a-child-starts-tracks-where-they-end-up,Who ends up out of district,
57,E. The people who work in the schools,headline,bigpicture,facts.teachers,Teacher FTE,
58,E. The people who work in the schools,headline,bigpicture,facts.paras,Paraprofessional FTE,
59,E. The people who work in the schools,headline,conclusion,schoolstaff/a-headcount-is-not-an-fte-count,Who works in each school,
60,E. The people who work in the schools,headline,conclusion,parastaff/the-change-is-paraprofessionals,The paraprofessionals,
61,E. The people who work in the schools,supporting,conclusion,parastaff/paraprofessionals-outside-special-education,The paraprofessionals,
62,E. The people who work in the schools,supporting,conclusion,parastaff/inside-sped-the-money-went-to-paraprofessionals,The paraprofessionals,
63,F. Where the money comes from,headline,bigpicture,facts.state_aid,State aid share of school budget,
64,F. Where the money comes from,headline,conclusion,formula/fewer-students-does-not-mean-less-aid,"How Chapter 70 actually works, in eight steps",
65,F. Where the money comes from,headline,conclusion,unwind/half-of-it-was-replaced-and-half-just-stopped,When a grant ends — who picks up the bill,
66,F. Where the money comes from,supporting,conclusion,unwind/the-biggest-rise-was-a-reporting-gap,When a grant ends — who picks up the bill,rewritten: FY2024 is a reporting gap
67,F. Where the money comes from,supporting,conclusion,formula/the-aid-and-the-increase-are-different-numbers,"How Chapter 70 actually works, in eight steps",
68,F. Where the money comes from,supporting,conclusion,formula/nothing-in-the-formula-takes-aid-away-for-losing-pupils,"How Chapter 70 actually works, in eight steps",
69,F. Where the money comes from,supporting,conclusion,formula/the-marginal-rate-does-not-extrapolate,"How Chapter 70 actually works, in eight steps",
70,F. Where the money comes from,supporting,conclusion,unwind/the-town-carries-more-of-it-than-it-used-to,When a grant ends — who picks up the bill,
71,"G. What it costs, against others",headline,bigpicture,facts.total_per_pupil,Total spending per pupil change,
72,"G. What it costs, against others",headline,conclusion,peers/the-districts-our-children-leave-for-spend-more,"What other districts spend, for each pupil",
73,"G. What it costs, against others",supporting,conclusion,peers/the-bottom-quarter-is-the-durable-fact,"What other districts spend, for each pupil",
74,"G. What it costs, against others",supporting,conclusion,peers/most-of-the-gap-is-the-denominator,"What other districts spend, for each pupil",
75,"G. What it costs, against others",supporting,conclusion,peers/near-the-top-on-pay-fewest-teachers,"What other districts spend, for each pupil",
76,H. What families pay — sports and fees,headline,bigpicture,facts.athletes,Athletes (season participations),
77,H. What families pay — sports and fees,headline,conclusion,families/what-a-family-actually-pays,What a family actually pays,
78,H. What families pay — sports and fees,headline,conclusion,sportsmoney/more-left-the-accounts-than-any-document-totals,"What sports cost, and who pays",
79,H. What families pay — sports and fees,supporting,conclusion,sportsmoney/everything-the-books-call-athletics-and-what-they-cannot,"What sports cost, and who pays",
80,H. What families pay — sports and fees,supporting,conclusion,sportsmoney/the-bus-bill-fell-and-the-town-paid-more,"What sports cost, and who pays",
81,H. What families pay — sports and fees,supporting,conclusion,families/parents-is-not-one-group,What a family actually pays,
82,H. What families pay — sports and fees,supporting,conclusion,families/the-second-child-does-not-double-the-bill,What a family actually pays,
83,I. What is taught,headline,conclusion,courses/the-high-school-runs-more-sections-not-fewer,"What courses actually ran, subject by subject",
84,I. What is taught,headline,conclusion,ap/two-in-five-upperclassmen-sit-an-ap-exam,"AP exams — who sits them, in what, and how they score",
85,I. What is taught,supporting,conclusion,courses/foreign-language-narrowed-on-every-instrument,"What courses actually ran, subject by subject",
86,I. What is taught,supporting,conclusion,courses/the-middle-school-world-language,"What courses actually ran, subject by subject",
87,I. What is taught,supporting,conclusion,courses/history-lost-staff-seats-and-takers-together,"What courses actually ran, subject by subject",
88,I. What is taught,supporting,conclusion,courses/computer-science-at-the-high-school,"What courses actually ran, subject by subject",
89,I. What is taught,supporting,conclusion,courses/a-fifth-of-high-school-sections-have-no-named-subject,"What courses actually ran, subject by subject",
90,I. What is taught,supporting,conclusion,courses/sections-and-teacher-fte-agree,"What courses actually ran, subject by subject",
91,I. What is taught,supporting,conclusion,courses/miscellaneous-is-more-groups-not-more-students,"What courses actually ran, subject by subject",
92,I. What is taught,supporting,conclusion,courses/mathematics-moved-between-two-buildings,"What courses actually ran, subject by subject",
93,I. What is taught,supporting,conclusion,ap/the-pass-rate-is-the-highest-in-the-file,"AP exams — who sits them, in what, and how they score",
94,I. What is taught,supporting,conclusion,ap/the-exams-are-english-and-history,"AP exams — who sits them, in what, and how they score",
