table_name,role,scope,tier,grain,what_it_answers,caution,default_query
account,dimension,both,3,one row per MUNIS account,"The chart of accounts — no money at all. One row per MUNIS account number split into fund, department, org and object, with its DESE function code, its name, whether it is revenue or expense, whether it is a roll-up or a detail account, and the years it appears.", department and function code.,
account_names,dimension,both,3,one row per abbreviated account name,"A decoder, not data: what each ten-character MUNIS abbreviation expands to, and the basis for each expansion.",The expansions are ours except where `basis` says otherwise.,
annual_report_catalogue,provenance,archive,,one row per table per annual report,"A catalogue of what EXISTS, not of what has been extracted. Every table found by reading all sixteen annual reports end to end: its printed heading verbatim, its pages, its grain, its printed total, and whether it is extractable.","A catalogue of what EXISTS, not of what has been extracted.",
annual_report_contents,provenance,archive,,one row per extracted table,"What was actually READ: which tables, from which pages, how many figures, and whether the extract is checkable against a printed total.", from which pages,
annual_report_receipts,extract,town,1,one row per revenue line per year,"Town REVENUE — every receipt line the annual reports print, by name and amount, per year, FY2011–FY2023. Only five years are `checked` against the report's own printed total.", as printed.,
annual_report_survey,provenance,archive,,one row per page surveyed,"A measurement of PAGES, not of figures: per page, the extraction mode, how many gutters and money tokens it holds, how many characters and rows. This is how the right instrument is chosen per page.","A survey, not data: it measures pages, it does not read figures.",
athletic_fee_schedule,fact,school,,one row per fee per year,"The published fee a family pays to play: dollars per fiscal year × school level × item, with the date it was set and the document that set it. Includes family caps and sibling discounts.", by level and year.,
athletics_by_sport,fact,school,,one row per sport per season per metric,"Per sport × season × level: participation COUNTS and DOLLAR figures mixed in one table, told apart by `metric`. `raw` keeps the value exactly as printed and `is_numeric` says whether it parsed, because some cells are text.",,
athletics_by_sport_reconciliation,provenance,school,,one row per printed total,"Not data — checks. For each total the source prints, what our rows sum to, the difference, and whether it ties.",,
athletics_history,fact,school,2,one row per athletics figure per year,"Athletics money from BOTH sides, and these are three different quantities that must never be added: what the town appropriated from the general fund, what the revolving fund took IN, and what the revolving fund SPENT. Dollars per year with the basis and source document for each.","Appropriation, fund revenue and fund spending are three quantities. Never add two of them.",
ballot_questions,fact,town,,one row per ballot question,"VOTES, not dollars — though each carries the amount at stake. Per ballot question: type, purpose, yes / no / blank counts, registered voters, turnout and the result.",,
budget_figure,fact,school,2,one row per line per year per stage per variant,"Dollar amounts per budget LINE from the district's budget documents — no counts, no people. Each figure carries the stage it represents (proposed / settled / actual) and, for FY27, which of four whole budget scenarios it belongs to. FY2014–FY2027, 9,503 figures, plus a flag where two documents state different amounts for the same line-year.",Split on `stage` AND `variant`. FY27 carries four whole budgets.,"SELECT f.fy, f.stage, f.variant, f.label, f.value, b.section, b.function_group, f.doc_id FROM budget_figure f LEFT JOIN budget_line b USING (line_key) ORDER BY f.fy, f.stage, f.value DESC LIMIT 1000"
budget_line,dimension,school,2,one row per budget line,"The district's LINE LIST — no money at all. One row per budget line with its section, its function group and what kind of line it is. This is the dimension `budget_figure` and `workbook_figure` hang their dollars on.", with its section and function group.,
capital_funding_history,fact,town,,one row per year,"Per year, how capital spending was PAID FOR: free cash, taxation, unexpended prior-year capital, other. Dollars.",,
capital_plan_fy27,fact,town,,one row per project,"The FY27 capital plan as proposed: project, department, cost, running cumulative, whether it was funded and from where.", ranked.,
crosswalk,dimension,both,3,one row per budget line mapped to an account,"EMPTY, deliberately. It would map a budget line to a ledger account, and it cannot: MUNIS truncates names to ten characters so `MS GUIDANC` and `HS GUIDANC` collide. Only the CATEGORY joins, through `account.function`.","Deliberately empty. MUNIS truncates to ten characters so MS GUIDANC and HS GUIDANC collide; only the CATEGORY can be joined, through account.function. Populating this would record an inference as a mapping.",SELECT * FROM crosswalk LIMIT 1000
dataset_document,provenance,archive,,one row per dataset per document,"The join between an extracted dataset and the document it came from: which pages, how many rows, whether it reconciled, and the publisher's own label, size and checksum.",,
